frame,edge_density,f_v,w_v,d_u,P_u,yolo_has_det,yolo_conf,yolo_dist,yolo_is_obst,label
0,0.021790747549019607,0.0,0.043581495098039214,2.573000192642212,0.01372778147714053,0.0,0.0,5.0,0.0,0
1,0.05422794117647059,0.0,0.10845588235294118,1.5240000486373901,0.07886639339758211,0.0,0.0,5.0,0.0,1
2,0.09260110294117647,0.0,0.18520220588235295,1.3250000476837158,0.10988362664363016,0.0,0.0,5.0,0.0,1
3,0.1232766544117647,0.0,0.2465533088235294,2.629000186920166,0.012504496514471854,0.0,0.0,5.0,0.0,0
4,0.04415594362745098,0.0,0.08831188725490197,3.9511001110076904,0.0013806969767710664,0.0,0.0,5.0,0.0,0
5,0.0797717524509804,0.0,0.1595435049019608,1.9570001363754272,0.0383244619309415,0.0,0.0,5.0,0.0,0
6,0.03431372549019608,0.0,0.06862745098039216,4.013000011444092,0.0012453566149042351,0.0,0.0,5.0,0.0,0
7,0.00980392156862745,0.0,0.0196078431372549,3.830000162124634,0.00168948149715158,0.0,0.0,5.0,0.0,0
8,0.048177083333333336,0.0,0.09635416666666667,2.0480000972747803,0.03293124106077095,0.0,0.0,5.0,0.0,0
9,0.08160998774509803,0.0,0.16321997549019607,2.9150002002716064,0.007763409543514415,0.0,0.0,5.0,0.0,0
10,0.028722426470588234,0.0,0.05744485294117647,1.3300000429153442,0.1089717354483652,0.0,0.0,5.0,0.0,1
11,0.023590686274509803,0.0,0.04718137254901961,2.136000156402588,0.028438817301009167,0.0,0.0,5.0,0.0,0
12,0.05621936274509804,0.0,0.11243872549019608,2.630000114440918,0.012483674552671641,0.0,0.0,5.0,0.0,0
13,0.0330499387254902,0.0,0.0660998774509804,1.5720000267028809,0.07280285958735869,0.0,0.0,5.0,0.0,1
14,0.021369485294117647,0.0,0.042738970588235295,1.693000078201294,0.059506674455317494,0.0,0.0,5.0,0.0,1
15,0.07525275735294118,0.0,0.15050551470588236,2.122000217437744,0.029110188987440496,0.0,0.0,5.0,0.0,0
16,0.037722120098039214,0.0,0.07544424019607843,2.2780001163482666,0.022445461163473766,0.0,0.0,5.0,0.0,0
17,0.04496017156862745,0.0,0.0899203431372549,2.6361000537872314,0.012357401426318197,0.0,0.0,5.0,0.0,0
18,0.04526654411764706,0.0,0.09053308823529412,2.1040000915527344,0.02999673251991608,0.0,0.0,5.0,0.0,0
19,0.06150428921568627,0.0,0.12300857843137254,1.2890000343322754,0.1166784532335276,0.0,0.0,5.0,0.0,1
20,0.11006433823529412,0.0,0.22012867647058823,1.4531000852584839,0.0887587312280888,0.0,0.0,5.0,0.0,1
21,0.1470971200980392,0.0,0.2941942401960784,2.7471001148223877,0.010270288217945622,0.0,0.0,5.0,0.0,0
22,0.11420036764705882,0.0,0.22840073529411764,2.002000093460083,0.035555272466588746,0.0,0.0,5.0,0.0,0
23,0.07215073529411764,0.0,0.14430147058823528,1.9440001249313354,0.03916388694432506,0.0,0.0,5.0,0.0,0
24,0.04155177696078431,0.0,0.08310355392156862,2.243000030517578,0.023793725103125357,0.0,0.0,5.0,0.0,0
25,0.058823529411764705,0.0,0.11764705882352941,0.800000011920929,0.2635971328785222,0.0,0.0,5.0,0.0,1
26,0.05935968137254902,0.0,0.11871936274509803,1.5100001096725464,0.08072823817747078,0.0,0.0,5.0,0.0,1
27,0.08459712009803921,0.0,0.16919424019607843,1.2780001163482666,0.11883727080822327,0.0,0.0,5.0,0.0,1
28,0.051470588235294115,0.0,0.10294117647058823,1.7970000505447388,0.05003662287143938,0.0,0.0,5.0,0.0,1
29,0.02382046568627451,0.0,0.04764093137254902,2.0290000438690186,0.03399075375334457,0.0,0.0,5.0,0.0,0
30,0.06100643382352941,0.0,0.12201286764705882,1.2610000371932983,0.12225249661152798,0.0,0.0,5.0,0.0,1
31,0.04572610294117647,0.0,0.09145220588235294,1.8020000457763672,0.04962138397524571,0.0,0.0,5.0,0.0,0
32,0.034428615196078434,0.0,0.06885723039215687,1.5630000829696655,0.0739031269780257,0.0,0.0,5.0,0.0,1
33,0.04744944852941176,0.0,0.09489889705882353,1.8790000677108765,0.04364499001737256,0.0,0.0,5.0,0.0,0
34,0.05024509803921569,0.0,0.10049019607843138,1.5410001277923584,0.0766631946964473,0.0,0.0,5.0,0.0,1
35,0.033471200980392156,0.0,0.06694240196078431,2.3930001258850098,0.01853056879714495,0.0,0.0,5.0,0.0,0
36,0.05675551470588235,0.0,0.1135110294117647,1.5770000219345093,0.07219869053437383,0.0,0.0,5.0,0.0,1
37,0.041283700980392156,0.0,0.08256740196078431,1.7360000610351562,0.0553912613487134,0.0,0.0,5.0,0.0,1
38,0.08237591911764706,0.0,0.16475183823529413,3.2080001831054688,0.004764003123501594,0.0,0.0,5.0,0.0,0
39,0.14656096813725492,0.0,0.29312193627450983,3.218100070953369,0.004684481141727893,0.0,0.0,5.0,0.0,0
40,0.12385110294117647,0.0,0.24770220588235295,2.55400013923645,0.014169452007840137,0.0,0.0,5.0,0.0,0
41,0.08283547794117647,0.0,0.16567095588235295,2.322000026702881,0.020858368496917145,0.0,0.0,5.0,0.0,0
42,0.12787224264705882,0.0,0.25574448529411764,1.097000002861023,0.16068114587572668,0.0,0.0,5.0,0.0,1
43,0.05710018382352941,0.0,0.11420036764705882,2.6410000324249268,0.012256894049906816,0.0,0.0,5.0,0.0,0
44,0.1053921568627451,0.0,0.2107843137254902,2.5860002040863037,0.013433545024906944,0.0,0.0,5.0,0.0,0
45,0.08900122549019608,0.0,0.17800245098039216,2.4120001792907715,0.017952959574835423,0.0,0.0,5.0,0.0,0
46,0.060814950980392156,0.0,0.12162990196078431,2.697000026702881,0.011164680118235374,0.0,0.0,5.0,0.0,0
47,0.05974264705882353,0.0,0.11948529411764706,1.6360000371932983,0.06543704597629948,0.0,0.0,5.0,0.0,1
48,0.04649203431372549,0.0,0.09298406862745098,1.3690000772476196,0.10211386187343084,0.0,0.0,5.0,0.0,1
49,0.0978860294117647,0.0,0.1957720588235294,1.319000005722046,0.11098798321328127,0.0,0.0,5.0,0.0,1
50,0.08249080882352941,0.0,0.16498161764705882,1.1730000972747803,0.14156445374304694,0.0,0.0,5.0,0.0,1
51,0.11722579656862746,0.0,0.23445159313725492,0.8600000143051147,0.23851254816772005,0.0,0.0,5.0,0.0,1
52,0.10627297794117647,0.0,0.21254595588235295,0.9380000233650208,0.20943677560083276,0.0,0.0,5.0,0.0,1
53,0.12415747549019608,0.0,0.24831495098039216,0.9490000605583191,0.20563207153764668,0.0,0.0,5.0,0.0,1
54,0.0953967524509804,0.0,0.1907935049019608,1.349000096321106,0.10557501945680067,0.0,0.0,5.0,0.0,1
55,0.080078125,0.0,0.16015625,1.343000054359436,0.10663607349996844,0.0,0.0,5.0,0.0,1
56,0.057904411764705885,0.0,0.11580882352941177,1.2730000019073486,0.11983174203435286,0.0,0.0,5.0,0.0,1
57,0.06311274509803921,0.0,0.12622549019607843,1.3240001201629639,0.11006690542639472,0.0,0.0,5.0,0.0,1
58,0.08995863970588236,0.0,0.17991727941176472,1.2610000371932983,0.12225249661152798,0.0,0.0,5.0,0.0,1
59,0.009114583333333334,0.0,0.018229166666666668,1.4380000829696655,0.0910208384295125,0.0,0.0,5.0,0.0,1
60,0.012637867647058824,0.0,0.025275735294117647,1.90500009059906,0.04179409777407614,0.0,0.0,5.0,0.0,0
61,0.004557291666666667,0.0,0.009114583333333334,0.9770000576972961,0.19625637682033453,0.0,0.0,5.0,0.0,1
62,0.026845894607843136,0.0,0.05369178921568627,1.027000069618225,0.18056457974144063,0.0,0.0,5.0,0.0,1
63,0.04051776960784314,0.0,0.08103553921568628,1.2890000343322754,0.1166784532335276,0.0,0.0,5.0,0.0,1
64,0.04070925245098039,0.0,0.08141850490196079,1.6800000667572021,0.06081005585936892,0.0,0.0,5.0,0.0,1
65,0.1130514705882353,0.0,0.2261029411764706,1.7980000972747803,0.04995329406617144,0.0,0.0,5.0,0.0,1
66,0.029296875,0.0,0.05859375,2.1460001468658447,0.027968765440542404,0.0,0.0,5.0,0.0,0
