frame,edge_density,f_v,w_v,d_u_m,P_u,yolo_has_det,yolo_conf,yolo_dist_m,yolo_is_obst,rf_prob_obstacle,Decision
311,0.019,0.000,0.039,1.204,0.134,1,0.664,1.660,0,1.000,OBSTACLE
312,0.010,0.000,0.020,1.641,0.065,1,0.714,1.983,0,1.000,OBSTACLE
313,0.032,0.000,0.063,0.715,0.304,1,0.801,0.869,0,1.000,OBSTACLE
314,0.091,0.000,0.183,1.011,0.185,1,0.794,0.995,0,0.990,OBSTACLE
315,0.050,0.000,0.100,1.391,0.098,1,0.899,0.880,0,1.000,OBSTACLE
316,0.015,0.000,0.031,1.884,0.043,0,0.000,,0,0.000,FREE
317,0.046,0.000,0.092,1.892,0.043,0,0.000,,0,0.000,FREE
318,0.014,0.000,0.028,1.646,0.064,1,0.639,1.485,0,1.000,OBSTACLE
319,0.028,0.000,0.055,2.485,0.016,0,0.000,,0,0.000,FREE
320,0.018,0.000,0.035,1.916,0.041,1,0.884,1.514,0,0.000,FREE
321,0.118,0.000,0.236,0.966,0.200,0,0.000,,0,1.000,OBSTACLE
322,0.024,0.000,0.048,1.261,0.122,0,0.000,,0,1.000,OBSTACLE
323,0.056,0.000,0.113,2.270,0.023,1,0.731,2.607,0,0.000,FREE
324,0.030,0.000,0.060,1.230,0.129,1,0.640,1.198,0,1.000,OBSTACLE
325,0.028,0.000,0.056,2.474,0.016,0,0.000,,0,0.000,FREE
326,0.042,0.000,0.084,1.134,0.151,1,0.251,0.792,1,1.000,OBSTACLE
327,0.083,0.000,0.166,1.636,0.065,1,0.868,1.234,0,1.000,OBSTACLE
328,0.043,0.000,0.087,1.466,0.087,1,0.629,1.537,0,1.000,OBSTACLE
329,0.075,0.000,0.150,1.332,0.109,1,0.515,1.371,0,1.000,OBSTACLE
330,0.101,0.000,0.202,0.922,0.215,1,0.910,1.074,0,1.000,OBSTACLE
331,0.094,0.000,0.189,1.469,0.086,0,0.000,,0,1.000,OBSTACLE
332,0.025,0.000,0.050,1.966,0.038,1,0.754,1.912,0,0.000,FREE
333,0.023,0.000,0.047,1.854,0.046,0,0.000,,0,0.000,FREE
334,0.060,0.000,0.121,2.202,0.025,1,0.610,2.322,0,0.000,FREE
335,0.046,0.000,0.092,2.286,0.022,0,0.000,,0,0.000,FREE
336,0.031,0.000,0.063,2.026,0.034,1,0.937,1.818,0,0.000,FREE
337,0.028,0.000,0.055,1.399,0.097,0,0.000,,0,1.000,OBSTACLE
338,0.060,0.000,0.119,1.803,0.050,1,0.948,1.993,0,0.010,FREE
339,0.061,0.000,0.122,1.962,0.038,1,0.726,1.425,0,0.000,FREE
340,0.013,0.000,0.026,1.068,0.169,0,0.000,,0,1.000,OBSTACLE
341,0.046,0.000,0.092,2.633,0.012,0,0.000,,0,0.000,FREE
342,0.125,0.000,0.251,1.186,0.139,1,0.850,1.135,0,1.000,OBSTACLE
343,0.023,0.000,0.046,1.081,0.165,1,0.550,1.020,0,0.990,OBSTACLE
344,0.018,0.000,0.037,1.037,0.178,1,0.479,0.871,0,1.000,OBSTACLE
345,0.195,1.000,0.390,0.761,0.281,0,0.000,,0,1.000,OBSTACLE
346,0.075,0.000,0.150,1.499,0.082,1,0.849,1.534,0,1.000,OBSTACLE
347,0.075,0.000,0.151,2.366,0.019,1,0.906,2.345,0,0.000,FREE
348,0.049,0.000,0.099,2.214,0.025,0,0.000,,0,0.000,FREE
349,0.093,0.000,0.187,0.901,0.223,1,0.393,0.890,0,0.990,OBSTACLE
350,0.098,0.000,0.195,0.790,0.268,1,0.406,0.778,1,1.000,OBSTACLE
351,0.030,0.000,0.061,2.216,0.025,1,0.894,3.199,0,0.000,FREE
352,0.012,0.000,0.025,1.288,0.117,0,0.000,,0,1.000,OBSTACLE
353,0.030,0.000,0.060,0.732,0.295,1,0.480,0.729,1,1.000,OBSTACLE
354,0.030,0.000,0.061,2.365,0.019,0,0.000,,0,0.000,FREE
355,0.015,0.000,0.029,1.048,0.174,1,0.355,0.932,0,1.000,OBSTACLE
356,0.050,0.000,0.099,1.287,0.117,1,0.809,1.063,0,1.000,OBSTACLE
357,0.021,0.000,0.043,1.954,0.039,1,0.943,1.762,0,0.000,FREE
358,0.123,0.000,0.245,1.341,0.107,0,0.000,,0,1.000,OBSTACLE
359,0.049,0.000,0.098,1.385,0.099,0,0.000,,0,1.000,OBSTACLE
360,0.106,0.000,0.212,1.058,0.171,1,0.334,0.741,1,1.000,OBSTACLE
361,0.065,0.000,0.130,2.599,0.013,1,0.875,3.097,0,0.000,FREE
362,0.036,0.000,0.072,1.525,0.079,0,0.000,,0,1.000,OBSTACLE
363,0.035,0.000,0.070,1.655,0.063,0,0.000,,0,1.000,OBSTACLE
364,0.045,0.000,0.091,0.870,0.235,1,0.433,0.797,1,1.000,OBSTACLE
365,0.066,0.000,0.133,1.039,0.177,1,0.639,0.923,0,1.000,OBSTACLE
366,0.099,0.000,0.197,0.800,0.264,0,0.000,,0,1.000,OBSTACLE
367,0.029,0.000,0.058,1.971,0.037,1,0.867,2.214,0,0.000,FREE
368,0.009,0.000,0.018,2.258,0.023,1,0.873,2.381,0,0.000,FREE
369,0.050,0.000,0.101,1.914,0.041,0,0.000,,0,0.000,FREE
370,0.068,0.000,0.136,1.837,0.047,0,0.000,,0,0.000,FREE
371,0.058,0.000,0.116,0.847,0.244,0,0.000,,0,1.000,OBSTACLE
372,0.077,0.000,0.154,1.932,0.040,1,0.385,1.778,0,0.000,FREE
373,0.006,0.000,0.011,1.477,0.085,1,0.662,1.188,0,1.000,OBSTACLE
374,0.011,0.000,0.022,1.077,0.166,1,0.613,1.189,0,1.000,OBSTACLE
375,0.053,0.000,0.105,1.083,0.164,0,0.000,,0,1.000,OBSTACLE
376,0.032,0.000,0.064,0.716,0.303,1,0.640,0.899,0,1.000,OBSTACLE
377,0.134,0.000,0.268,0.727,0.298,0,0.000,,0,1.000,OBSTACLE
378,0.006,0.000,0.013,1.496,0.083,0,0.000,,0,1.000,OBSTACLE
379,0.068,0.000,0.135,0.886,0.228,0,0.000,,0,1.000,OBSTACLE
380,0.031,0.000,0.061,1.578,0.072,0,0.000,,0,1.000,OBSTACLE
381,0.053,0.000,0.105,1.724,0.057,1,0.578,1.761,0,1.000,OBSTACLE
382,0.023,0.000,0.047,1.870,0.044,0,0.000,,0,0.000,FREE
383,0.030,0.000,0.060,1.770,0.052,0,0.000,,0,0.980,OBSTACLE
384,0.029,0.000,0.057,2.129,0.029,1,0.485,2.106,0,0.000,FREE
385,0.196,1.000,0.393,0.792,0.267,1,0.554,0.834,0,1.000,OBSTACLE
386,0.063,0.000,0.126,0.888,0.228,0,0.000,,0,1.000,OBSTACLE
387,0.018,0.000,0.036,2.435,0.017,0,0.000,,0,0.000,FREE
388,0.010,0.000,0.019,2.325,0.021,1,0.834,1.448,0,0.000,FREE
389,0.052,0.000,0.104,2.383,0.019,1,0.596,1.194,0,0.000,FREE
390,0.083,0.000,0.166,1.654,0.064,1,0.819,1.410,0,1.000,OBSTACLE
391,0.060,0.000,0.120,1.703,0.059,1,0.827,1.461,0,1.000,OBSTACLE
392,0.041,0.000,0.082,1.252,0.124,1,0.870,1.044,0,1.000,OBSTACLE
393,0.045,0.000,0.090,1.405,0.096,1,0.405,1.291,0,1.000,OBSTACLE
394,0.017,0.000,0.034,2.308,0.021,1,0.618,2.169,0,0.000,FREE
395,0.025,0.000,0.049,1.940,0.039,1,0.818,2.202,0,0.000,FREE
396,0.040,0.000,0.079,2.046,0.033,0,0.000,,0,0.000,FREE
397,0.114,0.000,0.229,1.654,0.063,1,0.720,1.466,0,0.990,OBSTACLE
398,0.028,0.000,0.055,1.430,0.092,1,0.928,1.814,0,1.000,OBSTACLE
399,0.122,0.000,0.245,1.988,0.036,1,0.914,1.966,0,0.000,FREE
400,0.024,0.000,0.049,1.975,0.037,1,0.756,1.770,0,0.000,FREE
401,0.004,0.000,0.007,2.609,0.013,0,0.000,,0,0.010,FREE
402,0.155,0.000,0.311,2.201,0.026,1,0.842,2.303,0,0.000,FREE
403,0.089,0.000,0.179,2.473,0.016,0,0.000,,0,0.000,FREE
404,0.064,0.000,0.128,2.079,0.031,0,0.000,,0,0.000,FREE
405,0.026,0.000,0.052,1.960,0.038,0,0.000,,0,0.000,FREE
406,0.011,0.000,0.021,1.694,0.059,0,0.000,,0,1.000,OBSTACLE
407,0.014,0.000,0.029,2.688,0.011,1,0.270,3.041,0,0.000,FREE
408,0.058,0.000,0.117,2.939,0.007,1,0.260,3.226,0,0.000,FREE
409,0.032,0.000,0.063,1.733,0.056,1,0.877,1.796,0,1.000,OBSTACLE
410,0.020,0.000,0.041,1.940,0.039,0,0.000,,0,0.000,FREE
411,0.049,0.000,0.098,1.449,0.089,1,0.736,1.153,0,1.000,OBSTACLE
412,0.065,0.000,0.131,2.692,0.011,0,0.000,,0,0.000,FREE
413,0.018,0.000,0.036,1.805,0.049,1,0.897,1.974,0,0.010,FREE
414,0.021,0.000,0.043,2.175,0.027,1,0.868,1.786,0,0.000,FREE
415,0.043,0.000,0.087,2.670,0.012,1,0.388,1.907,0,0.000,FREE
416,0.030,0.000,0.061,2.273,0.023,1,0.801,1.638,0,0.000,FREE
417,0.029,0.000,0.057,1.545,0.076,1,0.851,1.515,0,1.000,OBSTACLE
418,0.014,0.000,0.027,2.295,0.022,1,0.287,2.334,0,0.000,FREE
419,0.016,0.000,0.032,2.871,0.008,1,0.757,1.128,0,0.000,FREE
420,0.107,0.000,0.215,2.378,0.019,0,0.000,,0,0.000,FREE
421,0.120,0.000,0.241,1.176,0.141,1,0.747,1.281,0,1.000,OBSTACLE
422,0.090,0.000,0.180,1.959,0.038,0,0.000,,0,0.000,FREE
423,0.098,0.000,0.196,1.343,0.107,1,0.603,1.128,0,1.000,OBSTACLE
424,0.081,0.000,0.162,2.036,0.034,0,0.000,,0,0.000,FREE
425,0.101,0.000,0.203,1.873,0.044,1,0.420,1.904,0,0.000,FREE
426,0.035,0.000,0.069,1.871,0.044,0,0.000,,0,0.000,FREE
427,0.066,0.000,0.132,2.908,0.008,1,0.652,1.889,0,0.000,FREE
428,0.015,0.000,0.030,2.064,0.032,1,0.645,1.935,0,0.000,FREE
429,0.030,0.000,0.060,2.637,0.012,1,0.303,3.529,0,0.000,FREE
430,0.046,0.000,0.092,1.945,0.039,1,0.837,2.425,0,0.000,FREE
431,0.014,0.000,0.028,1.914,0.041,1,0.769,1.968,0,0.000,FREE
432,0.013,0.000,0.026,1.800,0.050,1,0.931,2.219,0,0.100,FREE
433,0.060,0.000,0.120,1.364,0.103,0,0.000,,0,1.000,OBSTACLE
434,0.007,0.000,0.014,2.164,0.027,0,0.000,,0,0.000,FREE
435,0.046,0.000,0.092,0.802,0.263,0,0.000,,0,1.000,OBSTACLE
436,0.033,0.000,0.066,2.014,0.035,1,0.653,2.532,0,0.000,FREE
437,0.082,0.000,0.163,1.976,0.037,1,0.577,1.967,0,0.000,FREE
438,0.045,0.000,0.091,1.253,0.124,1,0.556,1.246,0,1.000,OBSTACLE
439,0.005,0.000,0.010,2.265,0.023,0,0.000,,0,0.000,FREE
440,0.051,0.000,0.103,1.957,0.038,1,0.888,1.851,0,0.000,FREE
441,0.069,0.000,0.138,1.664,0.062,1,0.878,1.497,0,1.000,OBSTACLE
442,0.095,0.000,0.190,1.986,0.037,1,0.864,2.005,0,0.000,FREE
443,0.192,1.000,0.383,0.762,0.281,1,0.709,2.085,0,1.000,OBSTACLE
444,0.273,1.000,0.547,1.272,0.120,1,0.657,1.220,0,1.000,OBSTACLE
445,0.039,0.000,0.078,1.913,0.041,1,0.574,2.598,0,0.000,FREE
446,0.102,0.000,0.204,2.134,0.029,1,0.599,2.136,0,0.000,FREE
447,0.028,0.000,0.056,1.699,0.059,0,0.000,,0,1.000,OBSTACLE
448,0.055,0.000,0.111,2.612,0.013,1,0.899,3.839,0,0.000,FREE
449,0.105,0.000,0.210,1.806,0.049,1,0.773,1.855,0,0.010,FREE
450,0.060,0.000,0.121,1.636,0.065,0,0.000,,0,1.000,OBSTACLE
451,0.089,0.000,0.178,0.982,0.195,1,0.551,0.971,0,1.000,OBSTACLE
452,0.052,0.000,0.104,1.286,0.117,1,0.347,0.878,0,1.000,OBSTACLE
453,0.028,0.000,0.057,1.789,0.051,0,0.000,,0,0.970,OBSTACLE
454,0.011,0.000,0.023,2.425,0.018,0,0.000,,0,0.000,FREE
455,0.034,0.000,0.069,1.294,0.116,1,0.714,1.348,0,1.000,OBSTACLE
456,0.042,0.000,0.083,2.119,0.029,0,0.000,,0,0.000,FREE
457,0.154,0.000,0.308,1.229,0.129,1,0.844,1.335,0,1.000,OBSTACLE
458,0.128,0.000,0.256,1.008,0.186,1,0.843,0.988,0,1.000,OBSTACLE
459,0.258,1.000,0.515,0.965,0.200,1,0.884,1.013,0,1.000,OBSTACLE
460,0.034,0.000,0.067,2.318,0.021,1,0.627,2.320,0,0.000,FREE
461,0.066,0.000,0.132,2.350,0.020,1,0.847,2.592,0,0.000,FREE
462,0.059,0.000,0.118,1.238,0.127,1,0.573,1.220,0,1.000,OBSTACLE
463,0.127,0.000,0.255,1.263,0.122,1,0.846,1.168,0,1.000,OBSTACLE
464,0.118,0.000,0.236,1.835,0.047,1,0.788,1.057,0,0.000,FREE
465,0.052,0.000,0.104,2.714,0.011,0,0.000,,0,0.000,FREE
466,0.159,0.000,0.318,1.343,0.107,1,0.394,1.404,0,1.000,OBSTACLE
467,0.062,0.000,0.124,1.581,0.072,1,0.887,1.568,0,1.000,OBSTACLE
468,0.055,0.000,0.110,1.881,0.043,1,0.889,2.010,0,0.000,FREE
469,0.023,0.000,0.046,2.745,0.010,0,0.000,,0,0.000,FREE
470,0.016,0.000,0.031,1.146,0.148,1,0.879,1.129,0,1.000,OBSTACLE
471,0.159,0.000,0.318,1.699,0.059,1,0.731,1.634,0,1.000,OBSTACLE
472,0.023,0.000,0.045,1.923,0.041,0,0.000,,0,0.000,FREE
473,0.026,0.000,0.052,1.631,0.066,1,0.877,1.455,0,1.000,OBSTACLE
474,0.084,0.000,0.168,1.430,0.092,1,0.443,1.436,0,1.000,OBSTACLE
475,0.008,0.000,0.015,2.334,0.020,1,0.324,2.499,0,0.000,FREE
476,0.023,0.000,0.045,2.206,0.025,1,0.755,2.844,0,0.000,FREE
477,0.061,0.000,0.122,1.653,0.064,1,0.835,1.369,0,1.000,OBSTACLE
478,0.174,1.000,0.347,2.158,0.027,1,0.654,2.120,0,0.020,FREE
479,0.058,0.000,0.116,0.903,0.222,1,0.615,0.894,0,1.000,OBSTACLE
480,0.103,0.000,0.207,2.037,0.034,1,0.846,1.770,0,0.000,FREE
481,0.029,0.000,0.058,1.662,0.063,0,0.000,,0,1.000,OBSTACLE
482,0.039,0.000,0.079,1.154,0.146,1,0.830,1.147,0,1.000,OBSTACLE
483,0.016,0.000,0.033,1.812,0.049,1,0.332,2.097,0,0.000,FREE
484,0.019,0.000,0.039,1.616,0.068,1,0.333,1.754,0,1.000,OBSTACLE
485,0.061,0.000,0.122,0.755,0.284,1,0.579,1.097,0,1.000,OBSTACLE
486,0.017,0.000,0.034,2.361,0.020,0,0.000,,0,0.000,FREE
487,0.012,0.000,0.024,2.025,0.034,0,0.000,,0,0.000,FREE
488,0.105,0.000,0.209,1.570,0.073,1,0.930,1.544,0,1.000,OBSTACLE
489,0.032,0.000,0.063,2.021,0.034,1,0.786,1.266,0,0.000,FREE
490,0.007,0.000,0.013,1.397,0.097,0,0.000,,0,1.000,OBSTACLE
491,0.010,0.000,0.019,2.318,0.021,0,0.000,,0,0.000,FREE
492,0.039,0.000,0.078,1.682,0.061,1,0.806,1.821,0,1.000,OBSTACLE
493,0.013,0.000,0.026,2.135,0.028,1,0.930,2.345,0,0.000,FREE
494,0.033,0.000,0.065,1.824,0.048,0,0.000,,0,0.000,FREE
495,0.015,0.000,0.030,1.684,0.060,1,0.390,1.821,0,1.000,OBSTACLE
496,0.060,0.000,0.120,1.497,0.082,0,0.000,,0,1.000,OBSTACLE
497,0.060,0.000,0.119,1.544,0.076,0,0.000,,0,1.000,OBSTACLE
498,0.012,0.000,0.025,1.936,0.040,1,0.356,1.724,0,0.000,FREE
499,0.019,0.000,0.039,1.542,0.077,1,0.859,1.489,0,1.000,OBSTACLE
500,0.014,0.000,0.028,1.600,0.069,0,0.000,,0,1.000,OBSTACLE
501,0.019,0.000,0.039,1.705,0.058,1,0.822,1.353,0,1.000,OBSTACLE
502,0.023,0.000,0.047,1.496,0.083,0,0.000,,0,0.990,OBSTACLE
503,0.008,0.000,0.015,2.592,0.013,0,0.000,,0,0.000,FREE
504,0.070,0.000,0.139,1.726,0.056,1,0.915,1.806,0,1.000,OBSTACLE
505,0.002,0.000,0.004,1.872,0.044,0,0.000,,0,0.020,FREE
506,0.049,0.000,0.099,2.905,0.008,0,0.000,,0,0.000,FREE
507,0.145,0.000,0.290,1.490,0.083,0,0.000,,0,1.000,OBSTACLE
508,0.071,0.000,0.142,1.114,0.156,1,0.918,1.165,0,1.000,OBSTACLE
509,0.015,0.000,0.029,1.539,0.077,1,0.924,1.125,0,1.000,OBSTACLE
510,0.101,0.000,0.202,1.048,0.174,1,0.860,1.038,0,1.000,OBSTACLE
511,0.083,0.000,0.166,1.025,0.181,1,0.753,1.102,0,1.000,OBSTACLE
512,0.013,0.000,0.025,2.063,0.032,0,0.000,,0,0.000,FREE
513,0.037,0.000,0.074,1.436,0.091,1,0.868,1.578,0,1.000,OBSTACLE
514,0.070,0.000,0.139,1.712,0.058,0,0.000,,0,1.000,OBSTACLE
515,0.010,0.000,0.021,2.291,0.022,1,0.873,2.454,0,0.000,FREE
516,0.056,0.000,0.112,2.318,0.021,1,0.602,2.475,0,0.000,FREE
517,0.006,0.000,0.011,2.365,0.019,1,0.881,2.135,0,0.000,FREE
518,0.006,0.000,0.012,2.415,0.018,0,0.000,,0,0.000,FREE
519,0.024,0.000,0.047,2.200,0.026,1,0.494,2.988,0,0.000,FREE
520,0.028,0.000,0.057,1.465,0.087,1,0.734,1.565,0,1.000,OBSTACLE
521,0.063,0.000,0.125,0.941,0.208,1,0.832,0.916,0,1.000,OBSTACLE
522,0.040,0.000,0.081,1.504,0.082,1,0.277,1.467,0,1.000,OBSTACLE
523,0.126,0.000,0.251,2.016,0.035,1,0.696,1.964,0,0.000,FREE
524,0.062,0.000,0.124,1.945,0.039,0,0.000,,0,0.000,FREE
525,0.110,0.000,0.220,1.252,0.124,1,0.756,1.233,0,1.000,OBSTACLE
526,0.076,0.000,0.152,1.845,0.046,1,0.358,1.776,0,0.000,FREE
527,0.035,0.000,0.069,2.524,0.015,1,0.888,3.430,0,0.000,FREE
528,0.041,0.000,0.081,1.934,0.040,0,0.000,,0,0.000,FREE
529,0.046,0.000,0.091,1.141,0.149,1,0.754,1.170,0,1.000,OBSTACLE
530,0.010,0.000,0.021,2.204,0.025,0,0.000,,0,0.000,FREE
531,0.115,0.000,0.229,1.379,0.100,1,0.280,1.643,0,1.000,OBSTACLE
532,0.025,0.000,0.049,1.734,0.056,1,0.845,1.735,0,1.000,OBSTACLE
533,0.002,0.000,0.005,1.899,0.042,0,0.000,,0,0.020,FREE
534,0.042,0.000,0.084,2.264,0.023,1,0.762,2.000,0,0.000,FREE
535,0.021,0.000,0.043,2.218,0.025,1,0.506,2.616,0,0.000,FREE
536,0.018,0.000,0.037,2.191,0.026,0,0.000,,0,0.000,FREE
537,0.027,0.000,0.054,2.109,0.030,1,0.961,2.245,0,0.000,FREE
538,0.064,0.000,0.129,2.473,0.016,0,0.000,,0,0.000,FREE
539,0.000,0.000,0.000,1.661,0.063,1,0.905,1.750,0,0.990,OBSTACLE
540,0.084,0.000,0.168,1.397,0.097,1,0.427,1.459,0,1.000,OBSTACLE
541,0.038,0.000,0.076,1.302,0.114,1,0.730,1.366,0,1.000,OBSTACLE
542,0.019,0.000,0.038,1.455,0.088,1,0.890,1.426,0,1.000,OBSTACLE
543,0.036,0.000,0.073,1.630,0.066,1,0.370,1.206,0,1.000,OBSTACLE
544,0.024,0.000,0.049,1.607,0.069,1,0.855,1.472,0,1.000,OBSTACLE
545,0.000,0.000,0.000,1.833,0.047,1,0.805,1.753,0,0.020,FREE
546,0.006,0.000,0.011,2.003,0.035,0,0.000,,0,0.000,FREE
547,0.065,0.000,0.129,3.426,0.003,0,0.000,,0,0.000,FREE
548,0.022,0.000,0.043,1.347,0.106,1,0.800,1.255,0,1.000,OBSTACLE
549,0.045,0.000,0.090,0.941,0.208,1,0.448,1.256,0,1.000,OBSTACLE
550,0.023,0.000,0.045,2.366,0.019,0,0.000,,0,0.000,FREE
551,0.058,0.000,0.117,2.229,0.024,1,0.736,4.236,0,0.000,FREE
552,0.109,0.000,0.217,1.914,0.041,1,0.495,2.763,0,0.000,FREE
553,0.029,0.000,0.058,3.248,0.004,0,0.000,,0,0.000,FREE
554,0.106,0.000,0.212,2.595,0.013,1,0.911,2.303,0,0.000,FREE
555,0.020,0.000,0.040,1.309,0.113,1,0.892,1.348,0,1.000,OBSTACLE
556,0.063,0.000,0.127,1.460,0.088,1,0.899,1.294,0,1.000,OBSTACLE
557,0.026,0.000,0.052,1.235,0.128,1,0.619,0.815,0,1.000,OBSTACLE
558,0.053,0.000,0.106,1.293,0.116,1,0.530,1.136,0,1.000,OBSTACLE
559,0.059,0.000,0.117,2.618,0.013,1,0.891,2.692,0,0.000,FREE
560,0.082,0.000,0.163,1.891,0.043,1,0.643,2.904,0,0.000,FREE
561,0.062,0.000,0.124,1.625,0.067,1,0.855,1.361,0,1.000,OBSTACLE
562,0.073,0.000,0.146,2.731,0.011,0,0.000,,0,0.000,FREE
563,0.092,0.000,0.183,1.883,0.043,0,0.000,,0,0.000,FREE
564,0.149,0.000,0.298,1.402,0.097,1,0.659,1.651,0,1.000,OBSTACLE
565,0.055,0.000,0.110,1.692,0.060,1,0.810,1.716,0,1.000,OBSTACLE
566,0.058,0.000,0.117,0.743,0.290,1,0.859,0.737,1,1.000,OBSTACLE
567,0.021,0.000,0.042,2.149,0.028,1,0.266,1.726,0,0.000,FREE
568,0.031,0.000,0.062,2.301,0.022,1,0.531,2.506,0,0.000,FREE
569,0.036,0.000,0.072,2.675,0.012,0,0.000,,0,0.000,FREE
570,0.063,0.000,0.125,1.517,0.080,1,0.901,1.446,0,1.000,OBSTACLE
571,0.110,0.000,0.220,0.906,0.221,1,0.778,2.465,0,1.000,OBSTACLE
572,0.037,0.000,0.075,1.932,0.040,0,0.000,,0,0.000,FREE
573,0.041,0.000,0.082,1.691,0.060,0,0.000,,0,1.000,OBSTACLE
574,0.031,0.000,0.063,2.051,0.033,0,0.000,,0,0.000,FREE
575,0.106,0.000,0.213,1.502,0.082,1,0.773,1.364,0,1.000,OBSTACLE
576,0.044,0.000,0.087,2.624,0.013,0,0.000,,0,0.000,FREE
577,0.096,0.000,0.191,1.807,0.049,1,0.821,1.857,0,0.010,FREE
578,0.103,0.000,0.207,1.318,0.111,1,0.838,1.194,0,1.000,OBSTACLE
579,0.043,0.000,0.085,1.416,0.094,1,0.829,1.566,0,1.000,OBSTACLE
580,0.046,0.000,0.092,2.110,0.030,0,0.000,,0,0.000,FREE
581,0.061,0.000,0.122,1.149,0.147,1,0.823,1.152,0,1.000,OBSTACLE
582,0.010,0.000,0.021,1.959,0.038,0,0.000,,0,0.000,FREE
583,0.058,0.000,0.116,2.817,0.009,1,0.917,2.990,0,0.000,FREE
584,0.061,0.000,0.122,1.314,0.112,1,0.873,2.433,0,1.000,OBSTACLE
585,0.062,0.000,0.123,2.380,0.019,1,0.303,2.653,0,0.000,FREE
586,0.140,0.000,0.279,2.346,0.020,1,0.837,1.989,0,0.000,FREE
587,0.049,0.000,0.099,1.120,0.155,0,0.000,,0,1.000,OBSTACLE
588,0.035,0.000,0.071,1.875,0.044,0,0.000,,0,0.000,FREE
589,0.007,0.000,0.014,1.899,0.042,1,0.845,1.951,0,0.000,FREE
590,0.021,0.000,0.042,1.326,0.110,1,0.864,1.390,0,1.000,OBSTACLE
591,0.018,0.000,0.036,1.814,0.049,1,0.365,1.797,0,0.010,FREE
592,0.141,0.000,0.283,1.163,0.144,1,0.684,1.089,0,1.000,OBSTACLE
593,0.022,0.000,0.045,2.502,0.015,0,0.000,,0,0.000,FREE
594,0.105,0.000,0.209,2.161,0.027,1,0.928,2.691,0,0.000,FREE
595,0.023,0.000,0.047,1.912,0.041,1,0.605,2.752,0,0.000,FREE
596,0.102,0.000,0.205,2.862,0.008,1,0.901,3.417,0,0.000,FREE
597,0.046,0.000,0.092,1.451,0.089,0,0.000,,0,1.000,OBSTACLE
598,0.081,0.000,0.162,1.070,0.168,1,0.881,2.284,0,1.000,OBSTACLE
599,0.106,0.000,0.212,2.073,0.032,1,0.806,2.001,0,0.000,FREE
600,0.141,0.000,0.282,2.310,0.021,1,0.869,3.262,0,0.000,FREE
601,0.216,1.000,0.433,1.207,0.134,1,0.577,1.128,0,1.000,OBSTACLE
602,0.100,0.000,0.200,0.967,0.200,1,0.563,0.974,0,1.000,OBSTACLE
603,0.068,0.000,0.136,1.490,0.083,1,0.301,1.502,0,1.000,OBSTACLE
604,0.052,0.000,0.104,1.201,0.135,1,0.657,1.125,0,1.000,OBSTACLE
605,0.084,0.000,0.169,1.063,0.170,0,0.000,,0,1.000,OBSTACLE
606,0.016,0.000,0.033,2.028,0.034,0,0.000,,0,0.000,FREE
607,0.017,0.000,0.035,1.631,0.066,0,0.000,,0,1.000,OBSTACLE
608,0.053,0.000,0.106,2.051,0.033,1,0.878,2.107,0,0.000,FREE
609,0.073,0.000,0.146,1.206,0.134,1,0.489,1.200,0,0.990,OBSTACLE
610,0.037,0.000,0.074,2.654,0.012,1,0.826,1.456,0,0.000,FREE
611,0.056,0.000,0.112,2.034,0.034,1,0.910,2.013,0,0.000,FREE
612,0.061,0.000,0.122,2.592,0.013,0,0.000,,0,0.000,FREE
613,0.061,0.000,0.123,1.914,0.041,1,0.933,1.769,0,0.000,FREE
614,0.043,0.000,0.085,2.090,0.031,1,0.848,2.067,0,0.000,FREE
615,0.041,0.000,0.082,2.087,0.031,1,0.946,2.821,0,0.000,FREE
616,0.083,0.000,0.167,2.042,0.033,1,0.368,2.024,0,0.000,FREE
617,0.067,0.000,0.135,2.689,0.011,1,0.794,2.920,0,0.000,FREE
618,0.046,0.000,0.093,2.451,0.017,0,0.000,,0,0.000,FREE
619,0.060,0.000,0.119,1.976,0.037,1,0.793,1.991,0,0.000,FREE
620,0.028,0.000,0.056,2.520,0.015,0,0.000,,0,0.000,FREE
621,0.130,0.000,0.260,1.211,0.133,1,0.298,1.303,0,1.000,OBSTACLE
622,0.136,0.000,0.271,0.995,0.190,1,0.599,1.009,0,1.000,OBSTACLE
623,0.065,0.000,0.129,1.307,0.113,1,0.764,1.308,0,1.000,OBSTACLE
624,0.092,0.000,0.183,1.578,0.072,1,0.674,1.599,0,0.990,OBSTACLE
625,0.016,0.000,0.032,1.166,0.143,0,0.000,,0,1.000,OBSTACLE
626,0.038,0.000,0.076,1.008,0.186,1,0.722,0.959,0,1.000,OBSTACLE
627,0.005,0.000,0.010,1.131,0.152,1,0.713,1.132,0,1.000,OBSTACLE
628,0.015,0.000,0.029,1.580,0.072,1,0.757,1.168,0,1.000,OBSTACLE
629,0.116,0.000,0.232,2.199,0.026,1,0.930,2.425,0,0.000,FREE
630,0.083,0.000,0.167,1.947,0.039,1,0.907,1.846,0,0.000,FREE
631,0.092,0.000,0.184,1.125,0.153,1,0.830,1.618,0,0.990,OBSTACLE
632,0.040,0.000,0.080,2.007,0.035,0,0.000,,0,0.000,FREE
633,0.021,0.000,0.043,1.703,0.059,1,0.410,1.690,0,1.000,OBSTACLE
