frame,edge_density,f_v,w_v,d_u_m,P_u,yolo_has_det,yolo_conf,yolo_dist_m,yolo_is_obst,rf_prob_obstacle,Decision
72,0.082,0.000,0.164,1.029,0.180,1,0.322,1.066,0,0.990,OBSTACLE
73,0.031,0.000,0.062,1.171,0.142,1,0.332,1.142,0,1.000,OBSTACLE
74,0.062,0.000,0.123,1.249,0.125,1,0.843,1.187,0,1.000,OBSTACLE
75,0.020,0.000,0.041,1.526,0.079,1,0.803,0.999,0,1.000,OBSTACLE
76,0.088,0.000,0.176,0.973,0.198,0,0.000,,0,1.000,OBSTACLE
77,0.054,0.000,0.107,2.188,0.026,0,0.000,,0,0.000,FREE
78,0.024,0.000,0.049,1.645,0.064,0,0.000,,0,1.000,OBSTACLE
79,0.004,0.000,0.009,1.571,0.073,0,0.000,,0,1.000,OBSTACLE
80,0.090,0.000,0.180,0.922,0.215,0,0.000,,0,0.990,OBSTACLE
81,0.049,0.000,0.098,1.387,0.099,1,0.871,1.309,0,1.000,OBSTACLE
82,0.077,0.000,0.153,1.200,0.135,0,0.000,,0,1.000,OBSTACLE
83,0.033,0.000,0.066,1.592,0.070,0,0.000,,0,1.000,OBSTACLE
84,0.027,0.000,0.053,1.558,0.075,0,0.000,,0,1.000,OBSTACLE
85,0.096,0.000,0.192,1.319,0.111,1,0.308,1.617,0,1.000,OBSTACLE
86,0.033,0.000,0.067,0.897,0.224,1,0.297,0.844,0,1.000,OBSTACLE
87,0.098,0.000,0.195,0.875,0.233,1,0.960,1.032,0,1.000,OBSTACLE
88,0.052,0.000,0.103,0.767,0.279,0,0.000,,0,1.000,OBSTACLE
89,0.072,0.000,0.144,1.253,0.124,1,0.259,1.270,0,1.000,OBSTACLE
90,0.054,0.000,0.107,1.436,0.091,0,0.000,,0,1.000,OBSTACLE
91,0.050,0.000,0.099,1.310,0.113,1,0.328,1.213,0,1.000,OBSTACLE
92,0.062,0.000,0.125,1.960,0.038,0,0.000,,0,0.000,FREE
93,0.004,0.000,0.009,1.645,0.064,1,0.826,1.382,0,1.000,OBSTACLE
94,0.148,0.000,0.296,1.810,0.049,0,0.000,,0,0.020,FREE
95,0.030,0.000,0.059,2.377,0.019,1,0.608,2.625,0,0.000,FREE
96,0.013,0.000,0.026,2.037,0.034,1,0.862,1.781,0,0.000,FREE
97,0.044,0.000,0.088,1.287,0.117,1,0.366,1.295,0,1.000,OBSTACLE
98,0.040,0.000,0.081,1.253,0.124,1,0.687,1.259,0,1.000,OBSTACLE
99,0.076,0.000,0.151,1.893,0.043,0,0.000,,0,0.000,FREE
100,0.075,0.000,0.149,1.731,0.056,1,0.874,1.673,0,1.000,OBSTACLE
101,0.101,0.000,0.201,1.647,0.064,1,0.739,1.479,0,1.000,OBSTACLE
102,0.067,0.000,0.134,1.797,0.050,1,0.815,3.685,0,0.990,OBSTACLE
103,0.129,0.000,0.257,1.543,0.076,1,0.408,1.780,0,1.000,OBSTACLE
104,0.057,0.000,0.114,1.351,0.105,1,0.851,1.594,0,1.000,OBSTACLE
105,0.057,0.000,0.114,1.380,0.100,1,0.747,1.289,0,1.000,OBSTACLE
106,0.069,0.000,0.139,2.919,0.008,1,0.264,3.721,0,0.010,FREE
107,0.088,0.000,0.176,3.131,0.005,1,0.839,3.605,0,0.000,FREE
108,0.074,0.000,0.148,3.388,0.004,1,0.781,3.299,0,0.000,FREE
109,0.003,0.000,0.005,1.957,0.038,1,0.763,1.988,0,0.020,FREE
110,0.029,0.000,0.059,1.925,0.040,1,0.600,1.987,0,0.000,FREE
111,0.079,0.000,0.158,1.856,0.045,1,0.814,2.125,0,0.000,FREE
112,0.039,0.000,0.077,1.184,0.139,1,0.465,1.617,0,1.000,OBSTACLE
113,0.093,0.000,0.185,1.922,0.041,0,0.000,,0,0.000,FREE
